title,subtitle
Damião treina em campo, Zé coloca Sheik e Cirino no ataque em coletivo
"Leicester sofre na defesa, e Ranieri revela: ""Jogadores estão assustados""","Às vésperas da 2ª rodada da Liga dos Campeões, time leva 11 gols em seis rodadas no Campeonato Inglês e não consegue manter bom rendimento da última temporada"
"Com Nuzman candidato único, eleição do COB será no dia 4 de outubro ","À frente da entidade dede 1995, dirigente barrou oposição na Justiça, e parte para o seu sexto e último mandato aos 74 anos"
"Técnico de Zanetti, Goto revela que o atleta era rebelde no início da carreira","Técnico lembra que ginasta queria treinar a qualquer hora e se atrasava, mas que se ajustou após castigo: ""Não preciso me adaptar ao atleta, ele tem que se adaptar"""
"Após nova derrota, Inter volta aos treinos no CT com protesto da torcida",Manifestantes chegaram a atear fogo em vegetação próxima ao CT do Parque Gigante
Chances de o Palmeiras conquistar o Campeonato Brasileiro chegam a 49%,"Na segunda colocação, com um ponto a menos que o Verdão, o Flamengo tem 41% de probabilidades de ser campeão. Na luta contra a degola, risco do Inter vai a 70%"
Corinthians registra o pior público desde inauguração da Arena,Só 18.838 torcedores comparam ingressos para a partida contra Fluminense
Alemão surpreende Wawrinka e fatura 1º título da carreira em ATP na Rússia,"Alexander Zverev, de 19 anos, domina suíço e vence por 2 a 1 em São Petersburgo"
Nadadora medalhista olímpica critica a falta de apoio a Jogos de Roma 2024,Desistência da prefeitura inviabiliza projeto olímpico. Virginia Raggi vê o evento como gasto indevido diante das dificuldades financeiras da cidade. Primeiro ministro lamenta
Clayson admite que recusou proposta do futebol mexicano para continuar no Corinthians,"Apontado como um dos possíveis negociados na janela, atacante projeta sequência no Timão"
Acidente causa lentidão de 15 km na Via Anchieta sentido litoral de SP,"Colisão entre caminhão e carreta aconteceu no km 51, região de Cubatão."
"Floresce em Brasília a 'maior orquídea do mundo', diz Ibama",Espécie originária da Malásia floresceu após 5 anos de crescimento.
Acidente complica o trânsito na Avenida Brasil nesta terça-feira,"Congestionamento vai de Ramos, na Zona Norte, ao Cajú, na Zona Portuária."
Chico Alencar é o quarto candidato à presidência da Câmara,Candidato do PSol oficializou seu nome na disputa nesta tarde.
"Suspeito morre e policial é baleado em tiroteio no Rio, diz PM","Segundo comandante do 22º BPM, agente foi ferido de raspão na cabeça."
"Chico Anysio já 'interage com a família', diz boletim médico","De acordo com hospital, humorista vem 'melhorando progressivamente'."
"Blocos são oficializados, mas sem efeito nos cargos da Câmara",Líderes assinaram acordo para manter proporcionalidade das bancadas.
Polícia do Rio de Janeiro tenta localizar mais de 50 criminosos,Entenda como funciona o sistema de denúncias que ajuda no combate ao crime em 13 estados brasileiros. E por que 95% das pessoas que dão informações não retornam para buscar as recompensas.
Policial atira em cozinheiro dentro de shopping em Salvador,Ele teria discutido com a vítima perto do banheiro masculino.
Fiscais apreendem mais de 45 kg de maconha no Sul Fluminense,Droga apreendida estava em caminhonete que passava por Penedo.
Grupo SBF faz seleção para vagas administrativas,"Vagas são para Centro Administrativo, no bairro da Lapa, em São Paulo."
Paul McCartney cede música para filme sobre surf,"'This is love', do projeto Fireman, está na trilha de 'A deeper shade of blue'."
"'Vamos manter a autonomia do Parlamento', afirma Maia",Candidato a presidente da Câmara conversou com Michel Temer.
Empresa e motoristas de ônibus chegam a acordo para dar fim a greve,"Proposta ainda será levada à votação da categoria, na Zona Leste de SP."
Londrina decreta estado de emergência por causa da dengue,Cidade tem 144 casos confirmados e outros 1.100 suspeitos.
Poder Judiciário volta a funcionar nesta terça,"A abertura do ano judiciário foi no Supremo Tribunal Federal, com a presença da presidente Dilma Rousseff."
Ativistas protestam seminuas na Ucrânia,Manifestantes do Femen apareceram em sacadas com cartazes em Kiev.
Operários ficam feridos após explosão de botijão de gás em BH,Empresa responsável pela construção vai apurar causas do acidente.
Projeto de monotrilho em M'Boi Mirim deve ser alterado para metrô,Prefeito Gilberto Kassab anunciou a mudança nesta segunda-feira (31).
Preso entala em grade de janela ao tentar fugir de hospital no RS,"Outro detento conseguiu fugir, mas foi recapturado, segundo a Susepe."
